FirstName,LastName,Team,Position,SalaryBase ($),SalaryGuaranteed ($)
Dru,Yearwood,New York Red Bulls,M,525000.0,593750.0
Yaw,Yeboah,Columbus Crew,M,600000.0,663750.0
DeAndre,Yedlin,Inter Miami,D,825000.0,873750.0
Maya,Yoshida,LA Galaxy,D,800000.0,893334.0
Jackson,Yueill,San Jose Earthquakes,M,750000.0,786875.0
Luis,Zamudio,DC United,GK,85444.0,85444.0
Gyasi,Zardes,Austin FC,F,800000.0,800000.0
Eriq,Zavaleta,LA Galaxy,D,85444.0,85444.0
Sean,Zawadzki,Columbus Crew,M,88200.0,93200.0
Adrián,Zendejas,Charlotte,GK,85444.0,93430.0
Walker,Zimmerman,Nashville SC,D,1800000.0,2056979.0
Rida,Zouhir,CF Montreal,M,85444.0,92340.0
Ethan,Zubak,Nashville SC,F,195000.0,209000.0
Dario,Zuparic,Portland Timbers,D,735000.0,939200.0
Graham,Zusi,Sporting Kansas City,D,325000.0,325000.0
